"FK Name","Parent table","Parent field","Parent column_id","Referenced table","Referenced field","Referenced column_id","term_category"
"FK_CatalogItemArchive_CatalogItemId_To_CatalogItem","CatalogItemArchive","CatalogItemId","1","CatalogItem","Id","1",
"FK_CatalogItemArt_CatalogItemId_To_CatalogItem","CatalogItemArt","CatalogItemId","1","CatalogItem","Id","1",
"FK_CatalogItemArt_CultureId_To_DictionaryItem","CatalogItemArt","CultureId","2","DictionaryItem","Id","1",
"FK_CatalogItemArt_SchoolId_To_DictionaryItem","CatalogItemArt","SchoolId","3","DictionaryItem","Id","1",
"FK_CatalogItemArt_CreatorId_To_Person","CatalogItemArt","CreatorId","5","Person","Id","1","name"
"FK_CatalogItemArt_Creator2Id_To_Person","CatalogItemArt","Creator2Id","6","Person","Id","1","name"
"FK_CatalogItemArt_Creator3Id_To_Person","CatalogItemArt","Creator3Id","7","Person","Id","1","name"
"FK_CatalogItemArt_CreatorRoleId_To_DictionaryItem","CatalogItemArt","CreatorRoleId","8","DictionaryItem","Id","1",
"FK_CatalogItemArt_Creator2RoleId_To_DictionaryItem","CatalogItemArt","Creator2RoleId","9","DictionaryItem","Id","1",
"FK_CatalogItemArt_Creator3RoleId_To_DictionaryItem","CatalogItemArt","Creator3RoleId","10","DictionaryItem","Id","1",
"FK_CatalogItemArt_ImageSize_To_DictionaryItem","CatalogItemArt","ImageSizeId","13","DictionaryItem","Id","1",
"FK_CatalogItemArt_FrameSize_To_DictionaryItem","CatalogItemArt","FrameSizeId","14","DictionaryItem","Id","1",
